p,K,E_lam1,E_lam2,E_lam3,E_mit_linear,E_exact,a,b,c,E_lam0,residual_floor
0.05,-15.0,-313.60487305637764,-287.0206782493622,-257.6007788108036,-341.60692017916466,-358.99999999999966,12307953.354221903,-12308295.433814555,0.9999977249392971,-342.0795926526189,16.920407347380774
0.05,-14.0,-292.7992644870974,-268.039433095206,-240.4808518918646,-318.95847078471377,-335.0000000000001,11952048.403429452,-11952367.828455236,0.9999978113710357,-319.4250257834792,15.5749742165209
0.05,-13.0,-268.7678441393968,-249.05938955800693,-223.3622293568288,-291.47065153068075,-311.0,11249871.674922623,-11250164.144150041,0.9999979819830922,-292.4692274183035,18.53077258169651
0.05,-12.0,-251.190322085307,-230.0806528243525,-206.2451782926259,-273.6628939816476,-286.9999999999998,11143341.918711955,-11143616.035878027,0.9999979833680364,-274.1171660721302,12.88283392786957
0.05,-11.0,-230.38698119471,-211.1033349402008,-189.1300390954035,-251.01545224436325,-262.9999999999997,10063236.317661867,-10063487.781481639,0.9999979501598795,-251.46381977200508,11.536180227994635
0.05,-10.0,-209.58444477068065,-192.1275538419401,-172.0172488496266,-228.36804273120765,-239.00000000000009,8827397.90279803,-8827626.713389903,0.9999978721595344,-228.81059187278152,10.18940812721857
0.05,-9.0,-188.78273601311352,-173.1534328766128,-154.90737613079952,-205.7204159542705,-214.99999999999991,9168053.041479077,-9168259.19813789,0.9999981525653818,-206.15665881335735,8.843341186642562
0.05,-8.0,-167.98188013332117,-154.1810982336766,-137.80116455090933,-183.0722379245271,-190.9999999999999,8543634.053344507,-8543817.555574182,0.9999982337615134,-183.5022296756506,7.49777032434929
0.05,-7.0,-147.18190079698243,-135.21067887915942,-118.8702178895104,-161.33774225071846,-167.00000000000009,8767431.841121677,-8767593.9074799,0.9999983854142038,-162.06635822355747,4.933641776442613
0.05,-6.0,-126.38281947336785,-116.2423006134646,-102.00724703499831,-138.57060569255262,-143.00000000000028,6686196.254170971,-6686335.507116097,0.9999981772157522,-139.25294512603432,3.747054873965965
0.05,-5.0,-105.58465519256669,-97.27608593332953,-86.51594491522609,-115.11901033123698,-123.56603968487644,5273265.700685304,-5273381.228299199,0.9999981919836268,-115.52761389501393,8.038425789862515
0.05,-4.0,-86.8814470060239,-78.33649434365702,-68.31825132646816,-96.16304484580178,-107.56603968487642,4491477.550441332,-4491573.959055863,0.9999979335481597,-96.4086145311594,11.157425153717014
0.05,-3.0,-71.2389851937809,-62.35302725241354,-52.37819474116653,-80.66938042008809,-91.56603968487632,4529678.525664149,-4529759.3765308745,0.9999979181212325,-80.85086672566831,10.715172959208004
0.05,-2.0,-55.684615070353885,-46.53682999568832,-37.301264448955465,-64.8762903810531,-75.5660396848763,472521.25617808336,-472586.1473943358,0.9999805497025005,-64.8912162524648,10.6748234324115
0.05,-1.0,-40.21749326145476,-31.523173461594165,-22.609365031831604,-49.021557376266344,-59.56603968487627,1045947.8277151044,-1045996.8859516075,0.9999915829874548,-49.05823650304228,10.507803181833992
0.05,0.0,-25.21987131223281,-17.06878120890395,-8.717099621338852,-33.471257157679794,-43.56603968487643,978916.6245113774,-978950.1293335697,0.9999915710790432,-33.50482219224796,10.061217492628472
0.05,1.0,-13.43416876693382,-6.461757044953799,1.8108977636999024,-21.05670203225068,-35.56603968487625,4244914.912498646,-4244936.185944156,0.9999982043168134,-21.27344550937414,14.29259417550211
0.05,2.0,-4.443104928615033,3.570756829903197,11.592152631012176,-12.460733708428638,-27.566039684876344,91828.57935361439,-91841.04252757743,0.9999126895587993,-12.463173963042209,15.102865721834135
0.05,3.0,4.048159985013007,11.949484089836302,18.86782571483751,-3.3616728798992455,-19.566039684876287,67.5598948236393,-72.535707055298,0.8755926896832678,-4.975812231658708,14.59022745321758
0.05,4.0,10.497526953318816,16.32423150697071,25.01560540813468,3.2384877259108844,-11.56603968487638,4697547.743191393,-4697544.982094644,0.99999845472238,2.7610967494547367,14.327136434331116
0.05,5.0,13.160067113992184,20.699858775376065,31.24890825680535,4.115646542585601,-3.566039684876202,4611081.356712308,-4611077.7425137125,0.9999980385525498,3.6141985952854156,7.180238280161618
0.05,6.0,15.782866358733942,25.07451979930411,37.31039276523277,5.01910315548453,0.9999999999999948,6493495.10028767,-6493490.571778478,0.9999983423825892,4.528509192168713,3.528509192168718
0.05,7.0,18.431615779554384,29.44988558062269,43.54362657217315,5.875610383245,0.9999999999999978,7329335.95054777,-7329330.587734658,0.9999982868681561,5.362813111394644,4.362813111394646
0.05,8.0,21.07448479618944,33.82303678394263,49.60477846756275,6.809337960502788,1.0000000000000138,6109829.724225035,-6109823.420201821,0.9999976652237303,6.304023213684559,5.304023213684545
0.05,9.0,23.695424626833137,38.20176025310191,55.752523753397234,7.6668750635510925,1.000000000000004,9102083.702360064,-9102076.542937031,0.999998239018097,7.159423032775521,6.159423032775518
0.05,10.0,26.347298144857856,42.5760524229072,61.88934865228437,8.576272891144598,1.0000000000000429,8967841.734840125,-8967833.672836369,0.9999980183494587,8.062003755941987,7.062003755941944
0.05,11.0,28.98618309253539,46.94813120314844,68.04714997392627,9.455699651839957,0.9999999999999576,8976171.997642295,-8976163.064914377,0.9999978241765625,8.932727918028831,7.932727918028874
0.05,12.0,31.623614352972893,51.32246553713452,74.18418882147179,10.343327118723444,0.9999999999999708,9708328.851780504,-9708319.0355189,0.9999978080374989,9.816261604428291,8.81626160442832
0.05,13.0,34.25917707657918,55.702469297465136,80.34274882089314,11.2173912044222,0.9999999999999852,8923913.022788908,-8923902.338584293,0.9999974179489953,10.684204615652561,9.684204615652575
0.05,14.0,36.90732499522869,60.080311363023945,86.4956660746782,12.113154455503938,1.000000000000024,11721051.19698627,-11721039.6244861,0.9999978846340878,11.572500169277191,10.572500169277166
0.05,15.0,39.54752309852389,64.45058825113254,92.6454040510945,12.99858262223858,0.9999999999999768,11291422.029500071,-11291409.579846982,0.9999976487339198,12.449653089046478,11.449653089046501
0.05,16.0,42.16828640118402,68.82207839488923,98.78764456415767,13.858607319697192,1.0000000000000222,14084091.697357701,-14084078.390742607,0.9999979899492533,13.30661509372294,12.306615093722918
