p,K,K_index,lambda,n_CX,restart,seed,energy,E_exact,err_pct,n_iter,converged,hit_maxiter,diverged,is_best,cell_time_s
0.005,-12.0,4,2,40,6,20042,-275.84687654990626,-286.9999999999998,3.8861057317399044,2000,False,True,False,False,444.90268445014954
0.005,-12.0,4,2,40,7,20042,-275.44856728113837,-286.9999999999998,4.024889449080633,2000,False,True,False,False,444.90268445014954
0.005,-13.0,3,2,40,0,20032,-300.05735068853295,-311.0,3.51853675609873,2000,False,True,False,False,445.2398953437805
0.005,-13.0,3,2,40,1,20032,-300.91007361624025,-311.0,3.244349319536896,2000,False,True,False,False,445.2398953437805
0.005,-13.0,3,2,40,2,20032,-298.33818456285746,-311.0,4.071323291685703,2000,False,True,False,False,445.2398953437805
0.005,-13.0,3,2,40,3,20032,-298.38903305890676,-311.0,4.054973292956025,2000,False,True,False,False,445.2398953437805
0.005,-13.0,3,2,40,4,20032,-299.7480977729393,-311.0,3.6179749926240277,2000,False,True,False,False,445.2398953437805
0.005,-13.0,3,2,40,5,20032,-298.3782230435275,-311.0,4.058449182145499,2000,False,True,False,False,445.2398953437805
0.005,-13.0,3,2,40,6,20032,-300.01660169356165,-311.0,3.5316393268290502,2000,False,True,False,False,445.2398953437805
0.005,-13.0,3,2,40,7,20032,-301.56946823271886,-311.0,3.0323253271000445,2000,False,True,False,True,445.2398953437805
0.005,-10.0,6,2,40,0,20062,-229.49250290302405,-239.00000000000006,3.978032258148957,2000,False,True,False,False,445.527583360672
0.005,-10.0,6,2,40,1,20062,-230.55363746872314,-239.00000000000006,3.5340429001158644,2000,False,True,False,False,445.527583360672
0.005,-10.0,6,2,40,2,20062,-229.52617593328173,-239.00000000000006,3.9639431241499246,2000,False,True,False,False,445.527583360672
0.005,-10.0,6,2,40,3,20062,-229.6587561645356,-239.00000000000006,3.9084702240437093,2000,False,True,False,False,445.527583360672
0.005,-10.0,6,2,40,4,20062,-230.56988867371584,-239.00000000000006,3.527243232754903,2000,False,True,False,False,445.527583360672
0.005,-10.0,6,2,40,5,20062,-232.5269691964518,-239.00000000000006,2.7083810893507336,2000,False,True,False,True,445.527583360672
0.005,-10.0,6,2,40,6,20062,-229.48777798985898,-239.00000000000006,3.980009209264047,2000,False,True,False,False,445.527583360672
0.005,-10.0,6,2,40,7,20062,-230.3247285761668,-239.00000000000006,3.629820679428144,2000,False,True,False,False,445.527583360672
0.005,-16.0,0,3,60,0,20003,-365.9050545630676,-382.9999999999999,4.4634322289640425,2000,False,True,False,False,487.2525465488434
